Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04-10-1959,00:43:00,Vostok,Luna-3,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07-11-1959,20:28:00,Thor-DM18 Agena-A,Discoverer 7,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20-11-1959,19:25:00,Thor-DM18 Agena-A,Discoverer 8,Retired,,Failure
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",26-11-1959,07:26:00,Atlas-D Able,Pioneer P-3,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",04-02-1960,18:51:00,Thor-DM18 Agena-A,Discoverer 9,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",19-02-1960,20:15:00,Thor-DM18 Agena-A,Discoverer 10,Retired,,Failure
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",26-02-1960,17:25:00,Atlas-LV3 Agena-A,Midas 1,Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",11-03-1960,13:00:00,Thor DM-18 Able-IV,Pioneer 5,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",01-04-1960,11:40:00,Thor DM-18 Able-II,TIROS-1,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",13-04-1960,12:02:00,Thor-DM21 Ablestar,Transit 1B,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15-04-1960,15:06:00,Vostok,E-3 n†­2 (Luna-3),Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15-04-1960,20:30:00,Thor-DM18 Agena-A,Discoverer 11,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",16-04-1960,,Vostok,E-3 n†­3 (Luna-3),Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",13-05-1960,09:16:00,Thor DM-19 Delta,Echo 1,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",15-05-1960,00:00:00,Vostok,Korabl-Sputnik 1,Retired,,Success
General Dynamics,"LC-14, Cape Canaveral AFS, Florida, USA",24-05-1960,17:36:00,Atlas-LV3 Agena-A,Midas 2,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",22-06-1960,05:54:00,Thor-DM21 Ablestar,Transit 2A & GRAB-1,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",29-06-1960,22:00:00,Thor-DM18 Agena-A,Discoverer 12,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",28-07-1960,09:31:00,Vostok,1K n†­2 (Korabl-Sputnik 2),Retired,,Failure
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",29-07-1960,13:13:00,Atlas-D Mercury,Mercury-Atlas 1 (MA-1),Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",10-08-1960,20:37:00,Thor-DM18 Agena-A,Discoverer 13,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",12-08-1960,09:39:00,Thor DM-19 Delta,Echo 1A,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",18-08-1960,19:57:00,Thor-DM18 Agena-A,Discoverer 14,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",18-08-1960,19:58:00,Thor-DM21 Ablestar,Courier 1A,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",19-08-1960,08:44:00,Vostok,Korabl-Sputnik 2,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",13-09-1960,22:14:00,Thor-DM18 Agena-A,Discoverer 15,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",25-09-1960,15:13:00,Atlas-D Able,Pioneer P-30,Retired,,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",04-10-1960,17:50:00,Thor-DM21 Ablestar,Courier 1B,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10-10-1960,14:27:00,Molniya,1M n†­1 (Marsnik 1),Retired,,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",11-10-1960,20:33:00,Atlas-LV3 Agena-A,Samos 1,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",14-10-1960,13:51:00,Molniya,1M n†­2 (Marsnik 2),Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",26-10-1960,20:26:00,Thor DM-21 Agena-B,Discoverer 16,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12-11-1960,20:43:00,Thor DM-21 Agena-B,Discoverer 17,Retired,,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",21-11-1960,14:00:00,Mercury-Redstone,Mercury-Redstone 1 (MR-1),Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",23-11-1960,11:13:00,Thor DM-19 Delta,TIROS-2,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",30-11-1960,19:50:00,Thor-DM21 Ablestar,Transit 3A & GRAB-2,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01-12-1960,07:30:00,Vostok,Korabl-Sputnik 3,Retired,,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",04-12-1960,21:14:00,Scout X-1,Explorer (S-56),Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",07-12-1960,20:20:00,Thor DM-21 Agena-B,Discoverer 18,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",15-12-1960,09:10:00,Atlas-D Able,Pioneer P-31,Retired,,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",19-12-1960,16:15:00,Mercury-Redstone,Mercury-Redstone 1A (MR-1A),Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",20-12-1960,20:32:00,Thor DM-21 Agena-B,Discoverer 19,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",22-12-1960,07:45:00,Vostok,1K n†­5 (Korabl-Sputnik 3),Retired,,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",31-01-1961,16:55:00,Mercury-Redstone,Mercury-Redstone 2 (MR-2),Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",31-01-1961,20:21:00,Atlas-LV3 Agena-A,Samos 2,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",04-02-1961,01:18:00,Molniya,1VA n†­1 (Venera 1),Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12-02-1961,00:34:00,Molniya,Venera 1,Retired,,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",16-02-1961,13:05:00,Scout X-1,Explorer 9 (S-56A),Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",17-02-1961,20:25:00,Thor DM-21 Agena-B,Discoverer 20,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18-02-1961,22:58:00,Thor DM-21 Agena-B,Discoverer 21,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",21-02-1961,14:12:00,Atlas-D Mercury,Mercury-Atlas 2 (MA-2),Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",22-02-1961,03:45:00,Thor-DM21 Ablestar,Transit 3B & Lofti 1,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",09-03-1961,06:29:00,Vostok,Korabl-Sputnik 4,Retired,,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",24-03-1961,17:30:00,Mercury-Redstone,Mercury-Redstone BD (MR-BD),Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",25-03-1961,05:54:00,Vostok,Korabl-Sputnik 5,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",25-03-1961,15:17:00,Thor DM-19 Delta,Explorer 10,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30-03-1961,20:34:00,Thor DM-21 Agena-B,Discoverer 22,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",08-04-1961,19:21:00,Thor DM-21 Agena-B,Discoverer 23,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12-04-1961,06:07:00,Vostok,Vostok 1,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",25-04-1961,16:15:00,Atlas-D Mercury,Mercury-Atlas 3 (MA-3),Retired,,Failure
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",05-05-1961,14:34:00,Mercury-Redstone,Freedom 7 (MR-3),Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",08-06-1961,21:16:00,Thor DM-21 Agena-B,Discoverer 24,Retired,,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",16-06-1961,23:02:00,Thor DM-21 Agena-B,Discoverer 25,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",29-06-1961,04:22:00,Thor-DM21 Ablestar,"Transit 4A, Injun 1 & GRAB-3",Retired,,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",30-06-1961,17:09:00,Scout X-1,Explorer (S-55),Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",07-07-1961,23:29:00,Thor DM-21 Agena-B,Discoverer 26,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",12-07-1961,10:25:00,Thor DM-19 Delta,TIROS-3,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",12-07-1961,15:11:00,Atlas-LV3 Agena-B,Midas 3,Retired,,Success
NASA,"LC-5, Cape Canaveral AFS, Florida, USA",21-07-1961,12:36:00,Mercury-Redstone,Liberty Bell 7 (MR-4),Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",21-07-1961,22:35:00,Thor DM-21 Agena-B,Discoverer 27,Retired,,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",04-08-1961,00:01:00,Thor DM-21 Agena-B,Discoverer 28,Retired,,Failure
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",06-08-1961,06:00:00,Vostok,Vostok 2,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",16-08-1961,03:21:00,Thor DM-19 Delta,Explorer 12,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",23-08-1961,10:04:00,Atlas-LV3 Agena-B,Ranger 1,Retired,,Failure
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",25-08-1961,18:29:00,Scout X-1,Explorer 13,Retired,,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",30-08-1961,20:00:00,Thor DM-21 Agena-B,Discoverer 29,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",09-09-1961,19:28:00,Atlas-LV3 Agena-B,Samos 3,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",12-09-1961,19:59:00,Thor DM-21 Agena-B,Discoverer 30,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",13-09-1961,14:04:00,Atlas-D Mercury,Mercury-Atlas 4 (MA-4),Retired,,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",17-09-1961,21:00:00,Thor DM-21 Agena-B,Discoverer 31,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13-10-1961,19:22:00,Thor DM-21 Agena-B,Discoverer 32,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",21-10-1961,13:53:00,Atlas-LV3 Agena-B,Midas 4,Retired,,Partial Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",23-10-1961,19:23:00,Thor DM-21 Agena-B,Discoverer 33,Retired,,Failure
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",27-10-1961,16:30:00,Cosmos-2I (63S1),DS-1 1,Retired,,Failure
NASA,"LC-18B, Cape Canaveral AFS, Florida, USA",01-11-1961,15:32:00,Blue Scout II,Mercury-Scout 1 (MS-1),Retired,,Failure
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",05-11-1961,20:00:00,Thor DM-21 Agena-B,Discoverer 34,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",15-11-1961,21:23:00,Thor DM-21 Agena-B,Discoverer 35,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",15-11-1961,22:26:00,Thor-DM21 Ablestar,Transit 4B & TRAAC,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",18-11-1961,08:12:00,Atlas-LV3 Agena-B,Ranger 2,Retired,,Failure
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",22-11-1961,20:45:00,Atlas-LV3 Agena-B,Samos 4,Retired,,Failure
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",29-11-1961,15:08:00,Atlas-D Mercury,Mercury-Atlas 5 (MA-5),Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",11-12-1961,09:39:00,Vostok,Zenit-2 n†­1,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",12-12-1961,20:40:00,Thor DM-21 Agena-B,Discoverer 36 & Oscar 1,Retired,,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",21-12-1961,12:30:00,Cosmos-2I (63S1),DS-1 2,Retired,,Failure
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",22-12-1961,19:12:00,Atlas-LV3 Agena-B,Samos 5,Retired,,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",13-01-1962,21:41:00,Thor DM-21 Agena-B,Discoverer 37,Retired,,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",24-01-1962,09:30:00,Thor-DM21 Ablestar,LOFTI-2A & Others,Retired,,Failure
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",26-01-1962,20:30:00,Atlas-LV3 Agena-B,Ranger 3,Retired,,Partial Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",08-02-1962,12:43:00,Thor DM-19 Delta,TIROS-4,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",20-02-1962,14:47:00,Atlas-D Mercury,Friendship 7 (MA-6),Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",21-02-1962,18:44:00,Thor DM-21 Agena-B,FTV 2301,Retired,,Partial Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",27-02-1962,19:39:00,Thor DM-21 Agena-B,Discoverer 38,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",07-03-1962,16:06:00,Thor DM-19 Delta,OSO-1,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",07-03-1962,22:10:00,Atlas-LV3 Agena-B,Samos 6,Retired,,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",16-03-1962,11:59:00,Cosmos-2I (63S1),Cosmos 1,Retired,,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",06-04-1962,17:15:00,Cosmos-2I (63S1),Cosmos 2,Retired,,Success
General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",09-04-1962,15:04:00,Atlas-LV3 Agena-B,Midas 5,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18-04-1962,00:54:00,Thor DM-21 Agena-B,Discoverer 39,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",23-04-1962,20:50:00,Atlas-LV3 Agena-B,Ranger 4,Retired,,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",24-04-1962,04:00:00,Cosmos-2I (63S1),Cosmos 3,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",26-04-1962,10:02:00,Vostok,Cosmos 4,Retired,,Success
NASA,"LA-3, Wallops Flight Facility, Virginia, USA",26-04-1962,10:49:00,Scout X-2,Solrad 4B,Retired,,Failure
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",26-04-1962,18:00:00,Thor DM-19 Delta,Ariel 1,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",26-04-1962,18:56:00,Atlas-LV3 Agena-B,Samos 7,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",29-04-1962,00:30:00,Thor DM-21 Agena-B,FTV 1125,Retired,,Success
General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",08-05-1962,19:49:00,Atlas-LV3C Centaur-A,AC-1 (Test Vehicle),Retired,,Failure
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",10-05-1962,12:06:00,Thor-DM21 Ablestar,ANNA 1A,Retired,,Failure
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",15-05-1962,19:36:00,Thor DM-21 Agena-B,FTV 1126,Retired,,Success
NASA,"LC-14, Cape Canaveral AFS, Florida, USA",24-05-1962,12:45:00,Atlas-D Mercury,Aurora 7 (MA-7),Retired,,Success
US Air Force,"SLC-5, Vandenberg AFB, California, USA",24-05-1962,,Scout X-2M,DSAP-1 F1 (Program 35),Retired,,Failure
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",28-05-1962,03:00:00,Cosmos-2I (63S1),Cosmos 5,Retired,,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",30-05-1962,01:00:00,Thor DM-21 Agena-B,FTV 1128,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",01-06-1962,09:37:00,Vostok-2,Zenit-2 n†­3,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",02-06-1962,00:31:00,Thor-DM18 Agena-A,FTV 1127 & Oscar 2,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",17-06-1962,18:14:00,Atlas-LV3 Agena-B,Samos 8,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",18-06-1962,20:20:00,Thor DM-21 Agena-B,FTV 2312,Retired,,Success
US Air Force,"SLC-17A, Cape Canaveral AFS, Florida, USA",19-06-1962,12:19:00,Thor DM-19 Delta,TIROS-5,Retired,,Success
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",23-06-1962,00:30:00,Thor DM-21 Agena-B,FTV 1129,Retired,,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",28-06-1962,01:09:00,Thor DM-21 Agena-D,FTV 1151,Retired,,Success
RVSN USSR,"Mayak-2, Kapustin Yar, Russia",30-06-1962,16:00:00,Cosmos-2I (63S1),Cosmos 6,Retired,,Success
US Air Force,"SLC-17B, Cape Canaveral AFS, Florida, USA",10-07-1962,08:35:00,Thor DM-19 Delta,Telstar 1,Retired,,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA",18-07-1962,20:15:00,Atlas-LV3 Agena-B,Samos 9,Retired,,Success
US Air Force,"SLC-1E (75-3-5), Vandenberg AFB, California, USA",21-07-1962,00:56:00,Thor DM-21 Agena-B,FTV 1130,Retired,,Success
General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",22-07-1962,09:21:00,Atlas-LV3 Agena-B,Mariner 1,Retired,,Failure
US Air Force,"SLC-1W (75-3-4), Vandenberg AFB, California, USA",28-07-1962,00:30:00,Thor DM-21 Agena-B,FTV 1131,Retired,,Success
RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",28-07-1962,09:18:00,Vostok-2,Cosmos 7,Retired,,Success
US Air Force,"SLC-2E (75-1-1), Vandenberg AFB, California, USA",02-08-1962,00:17:00,Thor DM-21 Agena-D,FTV 1152,Retired,,Success
